Using request distribution 'zipfian' a keyrange of [0 500000]
***************** properties *****************
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0.95"
"operationcount"="500000"
"etcd.endpoints"="127.0.0.1:50051"
"insertproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"updateproportion"="0.05"
"measurementtype"="histogram"
"dotransactions"="true"
"requestdistribution"="zipfian"
"etcd.dial_timeout"="2s"
"command"="run"
**********************************************
UPDATE - Takes(s): 80.0, Count: 5718, OPS: 71.5, Avg(us): 6210, Min(us): 3560, Max(us): 75711, 50th(us): 5867, 90th(us): 7487, 95th(us): 8351, 99th(us): 10671, 99.9th(us): 47455, 99.99th(us): 75263
READ   - Takes(s): 90.0, Count: 121593, OPS: 1351.1, Avg(us): 5582, Min(us): 2384, Max(us): 115903, 50th(us): 5299, 90th(us): 7287, 95th(us): 8071, 99th(us): 10143, 99.9th(us): 24495, 99.99th(us): 76223
TOTAL  - Takes(s): 90.0, Count: 128046, OPS: 1422.8, Avg(us): 5613, Min(us): 2384, Max(us): 115903, 50th(us): 5335, 90th(us): 7299, 95th(us): 8083, 99th(us): 10167, 99.9th(us): 25135, 99.99th(us): 76223
UPDATE - Takes(s): 90.0, Count: 6453, OPS: 71.7, Avg(us): 6200, Min(us): 3560, Max(us): 114495, 50th(us): 5851, 90th(us): 7459, 95th(us): 8287, 99th(us): 10671, 99.9th(us): 47967, 99.99th(us): 75711
READ   - Takes(s): 100.0, Count: 134657, OPS: 1346.7, Avg(us): 5602, Min(us): 2384, Max(us): 115903, 50th(us): 5319, 90th(us): 7319, 95th(us): 8111, 99th(us): 10231, 99.9th(us): 24367, 99.99th(us): 76095
TOTAL  - Takes(s): 100.0, Count: 141780, OPS: 1417.9, Avg(us): 5633, Min(us): 2384, Max(us): 115903, 50th(us): 5355, 90th(us): 7327, 95th(us): 8123, 99th(us): 10247, 99.9th(us): 24751, 99.99th(us): 76095
UPDATE - Takes(s): 100.0, Count: 7123, OPS: 71.2, Avg(us): 6213, Min(us): 3560, Max(us): 114495, 50th(us): 5875, 90th(us): 7487, 95th(us): 8311, 99th(us): 10799, 99.9th(us): 47455, 99.99th(us): 75711
READ   - Takes(s): 110.0, Count: 148474, OPS: 1349.8, Avg(us): 5590, Min(us): 2320, Max(us): 115903, 50th(us): 5307, 90th(us): 7307, 95th(us): 8099, 99th(us): 10223, 99.9th(us): 24271, 99.99th(us): 74879
TOTAL  - Takes(s): 110.0, Count: 156291, OPS: 1420.9, Avg(us): 5621, Min(us): 2320, Max(us): 115903, 50th(us): 5347, 90th(us): 7319, 95th(us): 8111, 99th(us): 10239, 99.9th(us): 24655, 99.99th(us): 75327
UPDATE - Takes(s): 110.0, Count: 7817, OPS: 71.1, Avg(us): 6201, Min(us): 3560, Max(us): 114495, 50th(us): 5867, 90th(us): 7475, 95th(us): 8303, 99th(us): 10703, 99.9th(us): 47359, 99.99th(us): 75711
READ   - Takes(s): 120.0, Count: 162184, OPS: 1351.6, Avg(us): 5582, Min(us): 2320, Max(us): 115903, 50th(us): 5291, 90th(us): 7295, 95th(us): 8103, 99th(us): 10303, 99.9th(us): 24975, 99.99th(us): 74815
TOTAL  - Takes(s): 120.0, Count: 170723, OPS: 1422.8, Avg(us): 5613, Min(us): 2320, Max(us): 115903, 50th(us): 5331, 90th(us): 7311, 95th(us): 8115, 99th(us): 10359, 99.9th(us): 26287, 99.99th(us): 75263
UPDATE - Takes(s): 120.0, Count: 8539, OPS: 71.2, Avg(us): 6212, Min(us): 3560, Max(us): 114495, 50th(us): 5847, 90th(us): 7499, 95th(us): 8351, 99th(us): 11663, 99.9th(us): 40767, 99.99th(us): 75711
READ   - Takes(s): 130.0, Count: 176334, OPS: 1356.5, Avg(us): 5563, Min(us): 2320, Max(us): 115903, 50th(us): 5275, 90th(us): 7271, 95th(us): 8071, 99th(us): 10263, 99.9th(us): 25855, 99.99th(us): 74047
TOTAL  - Takes(s): 130.0, Count: 185576, OPS: 1427.6, Avg(us): 5594, Min(us): 2320, Max(us): 115903, 50th(us): 5311, 90th(us): 7283, 95th(us): 8083, 99th(us): 10303, 99.9th(us): 26719, 99.99th(us): 74815
UPDATE - Takes(s): 130.0, Count: 9242, OPS: 71.1, Avg(us): 6187, Min(us): 3560, Max(us): 114495, 50th(us): 5827, 90th(us): 7487, 95th(us): 8303, 99th(us): 11423, 99.9th(us): 40767, 99.99th(us): 75711
READ   - Takes(s): 140.0, Count: 190387, OPS: 1360.0, Avg(us): 5550, Min(us): 2320, Max(us): 115903, 50th(us): 5263, 90th(us): 7251, 95th(us): 8043, 99th(us): 10255, 99.9th(us): 25135, 99.99th(us): 74047
TOTAL  - Takes(s): 140.0, Count: 200342, OPS: 1431.1, Avg(us): 5581, Min(us): 2320, Max(us): 115903, 50th(us): 5299, 90th(us): 7267, 95th(us): 8059, 99th(us): 10287, 99.9th(us): 26447, 99.99th(us): 74495
UPDATE - Takes(s): 140.0, Count: 9955, OPS: 71.1, Avg(us): 6167, Min(us): 3560, Max(us): 114495, 50th(us): 5815, 90th(us): 7471, 95th(us): 8279, 99th(us): 11239, 99.9th(us): 39775, 99.99th(us): 75711
READ   - Takes(s): 150.0, Count: 203348, OPS: 1355.7, Avg(us): 5566, Min(us): 2320, Max(us): 115903, 50th(us): 5267, 90th(us): 7267, 95th(us): 8079, 99th(us): 10415, 99.9th(us): 27439, 99.99th(us): 76095
TOTAL  - Takes(s): 150.0, Count: 214006, OPS: 1426.8, Avg(us): 5597, Min(us): 2320, Max(us): 115903, 50th(us): 5307, 90th(us): 7283, 95th(us): 8095, 99th(us): 10463, 99.9th(us): 28303, 99.99th(us): 76223
UPDATE - Takes(s): 150.0, Count: 10658, OPS: 71.1, Avg(us): 6195, Min(us): 3560, Max(us): 114495, 50th(us): 5823, 90th(us): 7503, 95th(us): 8335, 99th(us): 11543, 99.9th(us): 40767, 99.99th(us): 99583
READ   - Takes(s): 160.0, Count: 216228, OPS: 1351.5, Avg(us): 5584, Min(us): 2320, Max(us): 115903, 50th(us): 5283, 90th(us): 7291, 95th(us): 8115, 99th(us): 10463, 99.9th(us): 27439, 99.99th(us): 74879
TOTAL  - Takes(s): 160.0, Count: 227569, OPS: 1422.4, Avg(us): 5615, Min(us): 2320, Max(us): 115903, 50th(us): 5323, 90th(us): 7307, 95th(us): 8135, 99th(us): 10503, 99.9th(us): 28511, 99.99th(us): 75711
